Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
mnist,CNN,"dropout, no_pool",LBFGS,0.001,40000,24.609113759681826,1501.1559393405914,61,56,9.58,9.796,54100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
mnist,MLP,dropout,LBFGS,0.01,40000,8.59474826335907,859.474826335907,100,100,15.09,14.806,476490,38.16326530612245,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,CNN,,K-FAC,1e-05,32,49.621872171759605,793.9499547481537,16,11,90.18,94.072,44426,85.6,97.8,84.8,89.6,85.6,97.5,71.4,96.2,97.6,95.7
mnist,CNN,no_pool,SGD,0.01,32,4.849316716194153,29.095900297164917,6,1,92.26,92.278,54100,94.89795918367346,98.76651982378854,85.65891472868218,90.79207920792079,92.4643584521385,92.9372197309417,97.7035490605428,93.77431906614785,81.62217659137578,93.3597621407334
cifar,CNN,dropout,LBFGS,0.1,50000,17.843053892680576,624.5068862438202,35,30,52.95,54.3575,62006,53.9,65.5,36.2,32.2,42.8,39.1,72.7,59.9,69.6,57.6
mnist,CNN,,LBFGS,0.001,32,19.974749531064713,279.646493434906,14,9,11.97,11.56,44426,14.84375,94.07407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,CNN,no_pool,SGD,0.01,32,4.558528661727905,41.02675795555115,9,4,31.51,31.6975,63520,7.8,50.9,6.9,5.4,15.8,53.1,53.6,38.8,70.2,12.6
fashion_mnist,CNN,dropout,LBFGS,0.001,50000,17.54693820476532,1754.693820476532,100,99,10.0,9.99,44426,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,MLP,dropout,K-FAC,0.1,32,310.8216774861018,1864.9300649166107,6,1,27.51,28.295,1647946,29.1,5.0,38.5,8.3,20.6,17.2,31.4,26.6,47.9,50.5
cifar,CNN,dropout,K-FAC,0.1,32,13.027062972386679,78.16237783432007,6,1,20.86,21.0625,62006,16.5,38.6,23.7,3.4,54.1,6.3,0.8,16.1,48.7,0.4
fashion_mnist,MLP,,K-FAC,0.001,32,23.55349651972453,141.32097911834717,6,1,75.71,77.484,476490,69.4,91.2,78.2,65.1,71.1,82.1,45.4,90.9,78.4,85.3
fashion_mnist,MLP,dropout,K-FAC,0.0001,32,67.32817884286244,1211.907219171524,18,13,88.65,92.188,476490,81.7,96.5,80.6,91.5,83.4,95.5,68.5,96.2,97.6,95.0
